ESTC number,Library name,Lib VIAF id,shelfmark,copynote,prov info,prov info ID
S2332,Oxford University Bodleian Library,129788129,Arch. G d.44 (1),null,null,
S2332,British Library,149072094,C.21.a.37,null,"Ms. note on first free endpaper recto: This most precious volume is from the libraries of ye late W: Bolland [?] and B: H: Bright Esqrs:. At Mr. Bolland's [?] sale (at ye rooms of Messrs: Evans) it was bought by Mr. Bright for Â£91:0:0... At Mr. Bright's sale (at ye rooms of Messrs. Sotheby Ho. [?]) on 7: April 1845. I became the purchaser for ye sum of Â£91:10:0... George Daniel. Canonbury Square. Slip with ms. notes regarding the 1845 sale and signed ""T.R."" [Thomas Rodd] and ""Geo Daniel"" tipped in on front board",
S2332,British Library,149072094,C.21.a.37,null,"Ms. note on first free endpaper recto: This most precious volume is from the libraries of ye late W: Bolland [?] and B: H: Bright Esqrs:. At Mr. Bolland's [?] sale (at ye rooms of Messrs: Evans) it was bought by Mr. Bright for £91:0:0... At Mr. Bright's sale (at ye rooms of Messrs. Sotheby Ho. [?]) on 7: April 1845. I became the purchaser for ye sum of £91:10:0... George Daniel. Canonbury Square. Slip with ms. notes regarding the 1845 sale and signed ""T.R."" [Thomas Rodd] and ""Geo Daniel"" tipped in on front board",
S1652,"Yale University, Sterling Memorial Library",137836402,Ig 3 620,"SML,Y Ig 3 620: Bound with his The passionate pilgrim. London, 1599.",null,
S1652,Cambridge University Trinity College,119148995978659751937,Capell *.22[2],-Final leaf,null,
S1652,Cambridge University Trinity College,119148995978659751937,Capell *.22[2],#ERROR!,null,
S1652,Shelfmk: umi,not found,null,null,null,
S121830,Oxford University Bodleian Library,129788129,[Shelfmark not available],date cropt [CM],null,
S121830,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 194,Elizabethan Club.,null,
S121830,Henry E. Huntington Library and Art Gallery,147236009,69380,MS. notes.,"initials of Narcissus Luttrell; signature of George Steevens; Roxburghe copy; MS. notes signed by George Daniel, Canonbury, and binding stamped with his monogram; Griswold copy; bookplate of E.D. Church",
S121830,British Library,149072094,[Shelfmark not available],[CM],null,
S121830,"The John Rylands Library, The University of Manchester",152274029,10739,null,null,
S121830,Cambridge University Trinity College,119148995978659751937,Capell S.36[5],"[A]1-2, B1, K2-L2 replaced with MS. versions",null,
S121830,Folger Shakespeare,427145424588186831488,STC 22353a,"cs0063. All leaves are trimmed and inlaid. MS. shelf-mark on armorial bookplate. Printed shelf-label ('T' '3'). With three engravings pasted on the front and back fly-leaves: 'New Place, from a drawing in the margin of an ancient survey made by order of Sir George Carew (afterwards Baron Carew of Clopton, and Earl of Totness) ...' (signed I. Jordan del. A. Burrell sc.); Droeshout engraving of Shakespeare (4th state, Hind); engraving of the Shakespeare memorial(?). Trimmed, affecting headlines and text, some of which are supplied in MS. ink.","inscribed on first front free endpaper: ""G.C. jr. [i.e. George Carew? see engraving pasted on front fly-leaf] given to him by the Honble John Byng 1791""; armorial bookplate of Dogmersfield Library (i.e. Sir Henry Mildmay copy) (motto ""allah ta hara"")",
S116061,British Library,149072094,C.39.c.44,Some print show-through,null,
S114115,Oxford University Bodleian Library,129788129,[Shelfmark not available],Imperfect; lacks title page,null,
S114114,British Library,149072094,Harley 5990/134,null,null,
S114114,British Library,149072094,[Shelfmark not available],Imperfect; title page only,null,
S114112,British Library,149072094,C.21.a.49,null,null,
S114112,Private Collections,,[Shelfmark not available],Earl of Macclesfield [CM],null,
S114110,Oxford University Bodleian Library,129788129,[Shelfmark not available],null,null,
S114108,Oxford University Bodleian Library,129788129,[Shelfmark not available],The copy catalogued is imperfect; lacks title page.,null,
S1139,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S1139,"Yale University, Sterling Memorial",137836402,[Shelfmark not available],[CM],null,
S1139,New York Public Library,143013888,[Shelfmark not available],[CM],null,
S1139,British Library,149072094,C.34.k.40,null,null,
S1139,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S112640,"Oxford University, Bodleian Library",129788129,Dep. e.,Provenance name: Earls of Verulam. Provenance note: Deposited by the Earls of Verulam.,null,
S112640,British Library,149072094,C.34.k.2,Imperfect; wanting final leaf O2,null,
S112640,Wroclaw University,313081640,[Shelfmark not available],null,null,
S111244,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111244,National Library of Scotland,127333235,Bute.516,null,null,
S111244,Oxford University Bodleian Library,129788129,Arch. G d.40 (2),null,null,
S111244,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111244,"Boston Public, Main",133435180,[Shelfmark not available],null,null,
S111244,University of Texas,141925602,Wg.Sh15.597ee,null,null,
S111244,New York Public Library,143013888,"*KC 1637 (Shakespeare, W. Most Excellent And Lamentable Tragedie of Romeo and Juliet)",null,null,
S111244,The National Trust,144832259,PET,null,"Gilt centrepiece on both covers: crescent moon, surrounded by garter motto with earl's coronet on top. Printed slip: Earl of Egremont, Petworth. Sprinkled calf, red sprinkled edges, double gilt fillet frame, gilt centrepieces (boxed).",
S111244,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Ig 6Rd 637,BEIN Ig 6Rd 637: Imperfect: leaves A1-3 (incl. t.p.) and L4 wanting; L4 supplied in facsimile; some leaves mutilated or bled.,null,
S111244,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 193,"Eliz 193: Bound by F. Bedford in red goatskin, gold tooling on cover and spine. The Thomas Corser copy, with his collation mark on the front endpaper; sold as lot 416 in the Corser sale by Sotheby's, 14 February 1871. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale.",null,
S111244,Henry E. Huntington Library and Art Gallery,147236009,69367,Uncut.,bookplate of Maurice Jonas,
S111244,British Library,149072094,C.34.k.58,[CM],null,
S111244,Birmingham Central Libraries,149618033,S345.1637,188323,null,
S111244,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111244,Cambridge University Trinity College,119148995978659751937,Capell S.34[1],null,null,
S111244,Oxford University Worcester College Library,226146462546127771059,[Shelfmark not available],[CM],null,
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 2,"cs298. Re-bound by Folger Library in its previous 19th-century pigskin binding, with an all-over gilt design (formerly with silk doublures)",null,
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 1,"Warwick. Brown goatskin binding, signed by F. Bedford. Printer's device on t.p. partially hand-colored.","James Orchard Halliwell-Phillipps copy; bookplate of Warwick Castle, Shakespeare Library",
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 3,"cs452. Some corners repaired. Red goatskin binding with gilt tooling, signed by W. Pratt.",James Orchard Halliwell-Phillipps copy (with his autograph MS. initials on the back free endpaper); Marsden J. Perry copy,
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 5,"cs0900. Print show-through. Tail of t.p. is trimmed and repaired, slightly affecting bottom line of imprint. Red goatskin binding, signed by Frank Bedford.","James O. Halliwell-Phillipps copy (with MS. note in his hand on front fly-leaf); bookplate of Warwick Castle, Shakespeare Library",
S111244,Folger Shakespeare,427145424588186831488,STC 22326 Copy 6,"cs0900. The word 'zounds' is crossed-out in ink on F1v and F2r. F4 is partially torn away at tail, affecting text and direction-line. Other leaves are torn and repaired. Gathering D is stained. Half bound in dark blue goatskin.",Charles Jennens copy; William P.A. Curzon copy; Howe family library copy,
