Title,Edition #,Date,STC/Wing,ESTC#,Notes
King Henry IV (Betterton),1,1700,S2928,,
Henry VI pt. 1 (Crowne),,1681,C7388,,no Bartlett #
Henry VI pt. 2 (Crowne),,1681,C7389,,no Bartlett #
Antony and Cleopatra (Sedley),,1677,S2395,,no Bartlett #
Antony and Cleopatra (Sedley),"""anr. ed.""",1696,S2396,,no Bartlett #
Funeral Elegy,1,1612,21526,,Probably do NOT include on principle it is attributed only to initials
History of King Lear (Tate),,1681,S2918,,
History of King Lear (Tate),"""anr. ed.""",1689,S2919,,no Bartlett #
History of King Lear (Tate),"""anr. ed.""",1699,S2920,,no Bartlett #
Macbeth,"""anr. ed.""",1674,S2930,,
Macbeth,"""anr. ed.""",1674,S2930A,,no Bartlett #
Macbeth,"""anr. ed.""",1674,S2931,,no Bartlett #
Macbeth,"""anr. ed.""",1687,S2932,,no Bartlett #
Macbeth,"""anr. ed.""",1687,S2933,,no Bartlett #
Macbeth,"""anr. ed.""",1689,S2934,,no Bartlett #
Macbeth,"""anr. ed.""",1695-1700,S2935,,no Bartlett #
Measure for Measure (Gildon?),,1700,S2936,,
Bottom the Weaver (Kirkman),,1661,S2937,,no Bartlett #
History of Richard II (Tate),,1681,S2921,,
Richard III (Cibber),,1700,S2956,,no Bartlett #
Songs and Masques in The Tempest,,1674?,S2943A,,no Bartlett #
The Tempest,,1670,S2944,,
The Tempest,"""anr. ed.""",1674,S2945,,
The Tempest,"""anr. ed.""",1676,S2946,,no Bartlett #
The Tempest,"""anr. ed.""",1676,S2946A,,no Bartlett #
The Tempest,"""anr. ed.""",1676,S2946B,,no Bartlett #
The Tempest,"""anr. ed.""",1690,S2947,,no Bartlett #
The Tempest,"""anr. ed.""",1695,S2948,,no Bartlett #
History of Timon of Athens (Shadwell),,1678,S2846,,no Bartlett #
Titus Andronicus (Ravenscroft),,1687,S2949,,
Troilus and Cressida (Dryden),,1679,D2388,,no Bartlett #
Troilus and Cressida (Dryden),"""anr. ed.""",1679,D2389,,no Bartlett #
Troilus and Cressida (Dryden),"""anr. ed.""",1679 [1692],D2390,,no Bartlett #
Troilus and Cressida (Dryden),"""anr. ed.""",1695,D2391,,no Bartlett #
