Title,Edn #,Date,STC/Wing,ESTC Cit #,Notes
1 Henry IV,1,1598,22279a,S106001,
1 Henry IV,2,1598,22280,S111128,
1 Henry IV,3,1599,22281,S111130,
1 Henry IV,4,1604,22282,S107199,
1 Henry IV,5,1608,22283,S111112,
1 Henry IV,6,1613,22284,S111121,
1 Henry IV,7,1622,22285,S111122,
1 Henry IV,8,1632,22286,S104545,
1 Henry IV,9,1639,22287,S111125,
1 Sir John Oldcastle,1,1600,18795,S106323,
1 Sir John Oldcastle,2,1619,18796,S106328,
1&2 Troublesome Reign of King John,1,1591,14644,S106391,
1&2 Troublesome Reign of King John,2,1611,14646,S106395,
1&2 Troublesome Reign of King John,3,1622,14647,S106399,
2 Henry IV,1,1600,22288,S111114,
2 Henry IV,1,1600,22288a,S111115,
2 Henry VI,1,1594,26099,S105347,
2 Henry VI,2,1600,26100,S111146,
3 Henry VI,1,1595,21006,S102944,
3 Henry VI,2,1600,21006a,S111150,
Birth of Merlin,1,1662,R2096,R7261,
Cupid's Cabinet Unlock't,1,1650?,C7597A,R224860,
Cupid's Cabinet Unlock't,2,1671/2,not in Wing,not in ESTC,
Hamlet,1,1603,22275,S111109,
Hamlet,2,1604,22276,S111107,
Hamlet,2,1605,22276a,S112640,
Hamlet,3,1611,22277,S111103,
Hamlet,4,1625?,22278,S111101,
Hamlet,5,1637,22279,S111099,
Hamlet,6,1676,S2950,R17530,
Hamlet,6,1676,S2951,R561,no Bartlett #
Hamlet,7,1683,S2952,R226573,in this state publisher's name is misspelled
Hamlet,7,1683,S2952,R17644,in this state publisher's name is spelled correctly
Hamlet,8,1695,S2954,R35173,
Hamlet,8,1695,S2955,R509,
Henry V,1,1600,22289,S111105,
Henry V,2,1602,22290,S111108,
Henry V,3,1619,22291,S111119,
Julius Caesar,1,1684,S2922,R15574,
Julius Caesar,2,1691,S2922A,R8049,no Bartlett #
Julius Caesar,"""anr. ed.""",1695-1700,S2923,R469134,also R11165
Julius Caesar,"""anr. ed.""",1695-1700,S2924,R35172,
Julius Caesar,"""anr. ed.""",1695-1700,S2925,R226533,
King Lear,1,1608,22292,S111085,
King Lear,2,1619,22293,S111098,
King Lear,3,1655,S2957,R17679,
Locrine,1,1595,21528,S106301,
London Prodigal,1,1605,22333,S106302,
Love's Labors Lost,1,1598,22294,S111181,
Love's Labors Lost,2,1631,22295,S111183,
Love's Martyr,1,1601,5119,S106438,
Love's Martyr,1,1611,5120,S116061,
Macbeth,1,1673,S2929,R22948,
Merchant of Venice,1,1600,22296,S111215,
Merchant of Venice,2,1619,22297,S111195,
Merchant of Venice,3,1637,22298,S111192,
Merchant of Venice,3,1652,S2938,R14929,
Merry Wives of Windsor,1,1602,22299,S111204,
Merry Wives of Windsor,2,1619,22300,S111206,
Merry Wives of Windsor,3,1630,22301,S111208,
Midsummer Night's Dream,1,1600,22302,S111178,
Midsummer Night's Dream,2,1619,22303,S111174,
Much Ado About Nothing,1,1600,22304,S111188,
Othello,1,1622,22305,S111186,
Othello,2,1630,22306,S111182,
Othello,3,1655,S2939,R17082,"t.p. = ""Fourth edition""; ""In this issue there is a comma after 'Othello' in line 2 of title"" -ESTC"
Othello,3,1655,S2939,R226564,"""In this issue there is no comma after 'Othello' in line 2 of title"" -ESTC"
Othello,4,1681,S2940,R17174,
Othello,5,1687,S2941,R17264,
Othello,6,1695-1700,S2942,R17265,
Passionate Pilgrim,1,1599,22341.5,S107201,
Passionate Pilgrim,2,1599,22342,S106363,
Passionate Pilgrim,3,1612,22343,S106170,
Pericles,1,1609,22334,S111190,
Pericles,2,1609,22335,S111194,
Pericles,3,1611,22336,S101699,
Pericles,4,1630,22337,S1139,
Pericles,4,1630,22338,S111198,
Pericles,5,1635,22339,S111200,
Poems,1,1640,22344,S106377,
Rape of Lucrece,1,1594,22345,S106341,
Rape of Lucrece,2,1598,22346,S106225,
Rape of Lucrece,3,1600,22347,S107202,
Rape of Lucrece,4,1600,22348,S106226,
Rape of Lucrece,5,1607,22349,S106351,
Rape of Lucrece,6,1616,22350,S106350,
Rape of Lucrece,7,1624,22351,S106348,
Rape of Lucrece,8,1632,22352,S106346,
Rape of Lucrece (+ Quarles),9,1655,S2943,R13087,
Richard II,1,1597,22307,S111135,
Richard II,2,1598,22308,S111138,
Richard II,3,1598,22309,S105634,
Richard II,4,1608,22310,S111139,
